word,count,rank,percentile,score
the,26769,0,0,0
of,15905,1,0,0
and,12266,2,1,3
in,11343,3,1,3
to,8448,4,2,6
a,7950,5,2,6
was,5044,6,2,6
is,3961,7,3,9
for,3722,8,3,9
at,3540,9,3,9
as,3102,10,4,12
with,2880,11,4,12
on,2852,12,5,15
by,2755,13,5,15
from,2197,14,5,15
that,2160,15,6,18
his,1758,16,6,18
he,1576,17,6,18
were,1515,18,7,21
an,1507,19,7,21
are,1403,20,8,24
which,1210,21,8,24
or,1088,22,8,24
be,1072,23,9,27
has,1065,24,9,27
it,1048,25,9,27
also,1027,26,10,30
had,1003,27,10,30
first,888,28,11,33
their,821,29,11,33
but,813,30,11,33
not,761,31,12,36
have,737,32,12,36
its,736,33,12,36
who,724,34,13,39
one,691,35,13,39
this,677,36,14,42
been,646,37,14,42
two,598,38,14,42
they,598,38,14,42
after,583,39,15,45
her,581,40,15,45
other,496,41,15,45
used,468,42,16,48
into,466,43,16,48
when,449,44,17,51
where,436,45,17,51
all,430,46,17,51
she,428,47,18,54
more,408,48,18,54
over,392,49,18,54
can,391,50,19,57
such,387,51,19,57
between,386,52,20,60
up,385,53,20,60
only,378,54,20,60
would,368,55,21,63
then,368,55,21,63
most,367,56,21,63
made,357,57,22,66
during,342,58,22,66
against,328,59,22,66
new,327,60,23,69
three,327,60,23,69
some,326,61,23,69
became,319,62,23,69
many,317,63,24,72
than,310,64,24,72
there,308,65,25,75
being,302,66,25,75
time,301,67,25,75
including,297,68,26,78
part,295,69,26,78
out,294,70,26,78
team,291,71,27,81
known,289,72,27,81
second,288,73,28,84
before,287,74,28,84
under,282,75,28,84
use,282,75,28,84
won,279,76,29,87
years,279,76,29,87
through,277,77,29,87
about,276,78,29,87
may,276,78,29,87
both,273,79,30,90
later,271,80,30,90
him,264,81,31,93
no,260,82,31,93
these,256,83,31,93
number,246,84,32,96
while,243,85,32,96
played,242,86,32,96
well,238,87,33,99
state,234,88,33,99
several,233,89,34,102
until,233,89,34,102
called,231,90,34,102
found,229,91,34,102
club,221,92,35,105
name,221,92,35,105
season,220,93,35,105
following,217,94,35,105
age,217,94,35,105
since,216,95,36,108
began,216,95,36,108
same,213,96,36,108
four,212,97,37,111
will,203,98,37,111
early,202,99,37,111
population,201,100,38,114
released,199,101,38,114
people,196,102,38,114
them,189,103,39,117
album,186,104,39,117
any,185,105,40,120
area,180,106,40,120
year,179,107,40,120
received,178,108,41,123
song,177,109,41,123
de,176,110,42,126
family,174,111,42,126
so,173,112,42,126
built,173,112,42,126
due,170,113,43,129
final,169,114,43,129
work,169,114,43,129
home,166,115,43,129
former,165,116,44,132
located,163,117,44,132
those,163,117,44,132
could,161,118,45,135
language,161,118,45,135
end,160,119,45,135
because,159,120,45,135
school,158,121,46,138
very,156,122,46,138
member,156,122,46,138
within,156,122,46,138
took,153,123,46,138
third,152,124,47,141
based,152,124,47,141
still,152,124,47,141
often,152,124,47,141
born,151,125,47,141
lost,150,126,48,144
did,150,126,48,144
around,150,126,48,144
building,149,127,48,144
back,149,127,48,144
high,148,128,48,144
next,147,129,49,147
left,147,129,49,147
local,147,129,49,147
each,147,129,49,147
now,145,130,49,147
single,143,131,49,147
main,143,131,49,147
national,143,131,49,147
named,143,131,49,147
film,142,132,50,150
music,142,132,50,150
city,142,132,50,150
series,141,133,50,150
using,141,133,50,150
led,139,134,51,153
along,138,135,51,153
held,137,136,51,153
served,137,136,51,153
small,137,136,51,153
cannabis,136,137,52,156
came,134,138,52,156
include,134,138,52,156
support,133,139,52,156
group,132,140,53,159
station,131,141,53,159
five,130,142,54,162
white,130,142,54,162
included,129,143,54,162
died,129,143,54,162
match,129,143,54,162
different,129,143,54,162
moved,128,144,54,162
games,127,145,55,165
place,126,146,55,165
joined,125,147,55,165
just,124,148,56,168
set,124,148,56,168
last,123,149,56,168
if,123,149,56,168
game,123,149,56,168
do,122,150,57,171
top,122,150,57,171
title,121,151,57,171
microphone,121,151,57,171
public,118,152,57,171
returned,117,153,58,174
much,117,153,58,174
major,117,153,58,174
original,117,153,58,174
town,116,154,58,174
late,116,154,58,174
village,116,154,58,174
like,115,155,58,174
record,115,155,58,174
what,115,155,58,174
again,115,155,58,174
said,114,156,59,177
per,114,156,59,177
government,113,157,59,177
large,113,157,59,177
near,113,157,59,177
started,112,158,60,180
having,111,159,60,180
career,110,160,60,180
various,110,160,60,180
make,110,160,60,180
continued,109,161,61,183
went,108,162,61,183
six,108,162,61,183
own,108,162,61,183
version,108,162,61,183
official,108,162,61,183
members,107,163,62,186
few,106,164,62,186
down,106,164,62,186
without,106,164,62,186
play,105,165,62,186
among,105,165,62,186
order,105,165,62,186
another,104,166,63,189
service,104,166,63,189
show,103,167,63,189
microphones,103,167,63,189
international,102,168,63,189
line,102,168,63,189
married,102,168,63,189
