word,count,rank,percentile,score
the,241584,0,0,0
of,133165,1,0,0
and,112683,2,0,0
in,99509,3,0,0
to,79758,4,0,0
,78020,5,1,3
a,77595,6,1,3
was,49323,7,1,3
is,38698,8,1,3
for,31748,9,1,3
as,29927,10,1,3
on,28739,11,1,3
The,27949,12,1,3
by,27507,13,1,3
with,27399,14,1,3
that,22010,15,2,6
from,20250,16,2,6
at,20219,17,2,6
his,18455,18,2,6
he,15211,19,2,6
an,14825,20,2,6
were,12855,21,2,6
are,12040,22,2,6
which,11487,23,2,6
it,9996,24,3,9
be,9706,25,3,9
has,9573,26,3,9
He,9518,27,3,9
had,9380,28,3,9
also,9377,29,3,9
In,8859,30,3,9
or,8699,31,3,9
first,7899,32,3,9
their,7809,33,3,9
who,7128,34,4,12
its,6996,35,4,12
but,6981,36,4,12
not,6775,37,4,12
It,6701,38,4,12
have,6601,39,4,12
"
",6596,40,4,12
her,6427,41,4,12
one,6256,42,4,12
this,6071,43,5,15
been,5972,44,5,15
two,5648,45,5,15
after,5109,46,5,15
they,4947,47,5,15
other,4673,48,5,15
into,4605,49,5,15
she,4569,50,5,15
when,4162,51,5,15
more,3987,52,5,15
would,3980,53,6,18
all,3892,54,6,18
during,3729,55,6,18
where,3642,56,6,18
only,3572,57,6,18
New,3553,58,6,18
over,3509,59,6,18
between,3461,60,6,18
new,3377,61,6,18
about,3298,62,6,18
up,3289,63,7,21
made,3268,64,7,21
This,3215,65,7,21
most,3171,66,7,21
three,3161,67,7,21
such,3117,68,7,21
than,3116,69,7,21
then,3111,70,7,21
used,3066,71,7,21
became,3060,72,8,24
known,3056,73,8,24
under,3032,74,8,24
can,3005,75,8,24
out,3000,76,8,24
part,2992,77,8,24
United,2980,78,8,24
time,2962,79,8,24
him,2861,80,8,24
being,2854,81,8,24
A,2820,82,9,27
some,2806,83,9,27
against,2751,84,9,27
later,2676,85,9,27
including,2641,86,9,27
years,2622,87,9,27
many,2606,88,9,27
American,2591,89,9,27
through,2568,90,9,27
there,2563,91,10,30
She,2503,92,10,30
before,2502,93,10,30
second,2482,94,10,30
while,2475,95,10,30
both,2425,96,10,30
played,2365,97,10,30
until,2359,98,10,30
film,2294,99,10,30
number,2269,100,10,30
well,2255,101,11,33
no,2250,102,11,33
University,2211,103,11,33
team,2211,103,11,33
National,2193,104,11,33
World,2190,105,11,33
several,2186,106,11,33
won,2144,107,11,33
called,2127,108,11,33
released,2117,109,11,33
will,2077,110,12,36
I,2012,111,12,36
may,1999,112,12,36
family,1992,113,12,36
January,1985,114,12,36
name,1980,115,12,36
On,1968,116,12,36
following,1951,117,12,36
early,1931,118,12,36
They,1927,119,12,36
work,1927,119,12,36
same,1896,120,13,39
them,1890,121,13,39
these,1887,122,13,39
began,1868,123,13,39
May,1867,124,13,39
people,1840,125,13,39
four,1831,126,13,39
since,1811,127,13,39
located,1806,128,13,39
September,1800,129,14,42
July,1793,130,14,42
June,1784,131,14,42
school,1775,132,14,42
took,1767,133,14,42
held,1759,134,14,42
October,1750,135,14,42
former,1747,136,14,42
series,1741,137,14,42
March,1737,138,14,42
South,1728,139,15,45
After,1714,140,15,45
named,1706,141,15,45
British,1694,142,15,45
April,1689,143,15,45
December,1684,144,15,45
August,1683,145,15,45
found,1681,146,15,45
each,1678,147,15,45
served,1669,148,16,48
His,1665,149,16,48
member,1662,150,16,48
area,1660,151,16,48
so,1655,152,16,48
November,1645,153,16,48
use,1631,154,16,48
John,1622,155,16,48
any,1607,156,16,48
year,1582,157,16,48
season,1573,158,17,51
population,1570,159,17,51
February,1569,160,17,51
around,1560,161,17,51
received,1547,162,17,51
did,1546,163,17,51
album,1537,164,17,51
end,1527,165,17,51
local,1526,166,17,51
born,1526,166,17,51
based,1497,167,18,54
age,1481,168,18,54
States,1470,169,18,54
now,1468,170,18,54
within,1466,171,18,54
back,1453,172,18,54
As,1453,172,18,54
could,1452,173,18,54
because,1447,174,18,54
city,1432,175,18,54
place,1428,176,18,54
state,1422,177,19,57
North,1409,178,19,57
due,1393,179,19,57
high,1386,180,19,57
along,1378,181,19,57
At,1378,181,19,57
built,1369,182,19,57
group,1366,183,19,57
left,1345,184,19,57
music,1344,185,19,57
very,1343,186,19,57
small,1341,187,20,60
main,1333,188,20,60
set,1332,189,20,60
government,1329,190,20,60
published,1322,191,20,60
public,1321,192,20,60
national,1311,193,20,60
home,1298,194,20,60
included,1295,195,20,60
School,1294,196,21,63
still,1288,197,21,63
died,1287,198,21,63
species,1287,198,21,63
village,1278,199,21,63
like,1274,200,21,63
large,1266,201,21,63
those,1266,201,21,63
five,1265,202,21,63
game,1264,203,21,63
last,1263,204,21,63
own,1258,205,21,63
moved,1254,206,22,66
if,1248,207,22,66
State,1244,208,22,66
third,1230,209,22,66
town,1230,209,22,66
often,1203,210,22,66
members,1202,211,22,66
another,1200,212,22,66
song,1185,213,22,66
company,1184,214,22,66
said,1179,215,23,69
York,1178,216,23,69
major,1173,217,23,69
War,1171,218,23,69
final,1166,219,23,69
band,1158,220,23,69
include,1149,221,23,69
late,1149,221,23,69
went,1149,221,23,69
become,1145,222,23,69
There,1145,222,23,69
different,1143,223,23,69
1,1134,224,23,69
led,1134,224,23,69
show,1133,225,24,72
French,1131,226,24,72
building,1124,227,24,72
single,1118,228,24,72
near,1117,229,24,72
original,1114,230,24,72
what,1108,231,24,72
much,1097,232,24,72
just,1079,233,24,72
came,1078,234,25,75
City,1074,235,25,75
order,1069,236,25,75
League,1064,237,25,75
joined,1063,238,25,75
started,1063,238,25,75
various,1056,239,25,75
established,1046,240,25,75
announced,1045,241,25,75
make,1041,242,25,75
play,1027,243,25,75
San,1026,244,26,78
next,1025,245,26,78
For,1025,245,26,78
role,1023,246,26,78
having,1019,247,26,78
married,1018,248,26,78
even,1016,249,26,78
station,1014,250,26,78
among,1013,251,26,78
off,1012,252,26,78
best,1011,253,27,81
given,1007,254,27,81
During,1006,255,27,81
line,1003,256,27,81
returned,998,257,27,81
worked,989,258,27,81
English,982,259,27,81
form,981,260,27,81
written,975,261,27,81
take,974,262,27,81
using,973,263,28,84
produced,966,264,28,84
system,964,265,28,84
per,961,266,28,84
These,959,267,28,84
2,956,268,28,84
son,948,269,28,84
book,941,270,28,84
West,939,271,28,84
created,937,272,29,87
long,935,273,29,87
3,928,274,29,87
down,928,274,29,87
German,928,274,29,87
few,927,275,29,87
title,925,276,29,87
do,922,277,29,87
six,917,278,29,87
When,914,279,29,87
European,912,280,29,87
side,910,281,29,87
described,909,282,30,90
total,907,283,30,90
without,907,283,30,90
top,906,284,30,90
record,901,285,30,90
support,897,286,30,90
appointed,893,287,30,90
power,890,288,30,90
career,887,289,30,90
wrote,872,290,30,90
appeared,867,291,31,93
general,863,292,31,93
television,860,293,31,93
again,859,294,31,93
signed,859,294,31,93
International,858,295,31,93
club,857,296,31,93
continued,855,297,31,93
every,854,298,31,93
service,851,299,31,93
professional,848,300,31,93
William,846,301,32,96
way,843,302,32,96
political,843,302,32,96
match,840,303,32,96
considered,840,303,32,96
million,836,304,32,96
land,835,305,32,96
football,835,305,32,96
life,829,306,32,96
law,826,307,32,96
founded,823,308,32,96
water,823,308,32,96
elected,820,309,32,96
4,818,310,32,96
working,817,311,33,99
further,815,312,33,99
district,813,313,33,99
win,811,314,33,99
military,806,315,33,99
north,797,316,33,99
international,796,317,33,99
President,788,318,33,99
death,784,319,33,99
production,781,320,34,102
making,780,321,34,102
County,780,321,34,102
average,778,322,34,102
students,777,323,34,102
One,775,324,34,102
living,775,324,34,102
important,774,325,34,102
house,774,325,34,102
recorded,772,326,34,102
games,766,327,34,102
debut,762,328,34,102
head,761,329,34,102
lost,759,330,35,105
playing,757,331,35,105
works,756,332,35,105
south,755,333,35,105
formed,751,334,35,105
Indian,750,335,35,105
College,748,336,35,105
common,747,337,35,105
High,746,338,35,105
Australian,745,339,36,108
Royal,744,340,36,108
development,741,341,36,108
run,740,342,36,108
Cup,738,343,36,108
day,736,344,36,108
although,736,344,36,108
East,736,344,36,108
short,735,345,36,108
player,735,345,36,108
James,725,346,36,108
District,720,347,36,108
church,719,348,36,108
designed,716,349,37,111
across,711,350,37,111
community,711,350,37,111
gave,711,350,37,111
should,710,351,37,111
father,709,352,37,111
never,709,352,37,111
history,707,353,37,111
George,707,353,37,111
House,707,353,37,111
world,705,354,37,111
sold,704,355,37,111
must,704,355,37,111
largest,703,356,37,111
site,698,357,37,111
5,697,358,38,114
lead,697,358,38,114
period,697,358,38,114
old,696,359,38,114
how,693,360,38,114
position,692,361,38,114
General,689,362,38,114
developed,687,363,38,114
taken,686,364,38,114
men,681,365,38,114
King,681,365,38,114
involved,680,366,38,114
version,678,367,38,114
followed,678,367,38,114
opened,677,368,39,117
event,676,369,39,117
current,675,370,39,117
business,674,371,39,117
performed,671,372,39,117
live,670,373,39,117
directed,665,374,39,117
children,665,374,39,117
finished,664,375,39,117
currently,660,376,39,117
get,659,377,40,120
though,658,378,40,120
similar,658,378,40,120
miles,658,378,40,120
River,657,379,40,120
London,657,379,40,120
areas,656,380,40,120
research,651,381,40,120
less,649,382,40,120
Party,649,382,40,120
modern,648,383,40,120
featured,644,384,40,120
popular,642,385,40,120
By,642,385,40,120
point,640,386,40,120
great,639,387,41,123
Central,637,388,41,123
we,637,388,41,123
6,635,389,41,123
times,634,390,41,123
square,633,391,41,123
together,632,392,41,123
decided,630,393,41,123
teams,629,394,41,123
release,628,395,41,123
once,627,396,42,126
young,626,397,42,126
awarded,624,398,42,126
remained,624,398,42,126
field,624,398,42,126
video,623,399,42,126
throughout,622,400,42,126
does,622,400,42,126
"
The",620,401,42,126
Minister,620,401,42,126
help,619,402,42,126
available,619,402,42,126
originally,619,402,42,126
social,619,402,42,126
control,616,403,42,126
country,611,404,42,126
England,611,404,42,126
II,611,404,42,126
Charles,608,405,42,126
eventually,608,405,42,126
reported,605,406,43,129
From,605,406,43,129
While,605,406,43,129
leading,604,407,43,129
episode,604,407,43,129
days,602,408,43,129
office,602,408,43,129
features,601,409,43,129
list,600,410,43,129
private,599,411,43,129
US,596,412,43,129
right,596,412,43,129
usually,595,413,43,129
sent,595,413,43,129
Italian,594,414,43,129
Its,594,414,43,129
himself,593,415,44,132
official,593,415,44,132
central,592,416,44,132
story,591,417,44,132
previous,591,417,44,132
includes,591,417,44,132
saw,589,418,44,132
full,589,418,44,132
Army,588,419,44,132
Council,588,419,44,132
provided,587,420,44,132
able,585,421,44,132
program,585,421,44,132
